,rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
0,m/spider_man_into_the_spider_verse,Johnny Oleksinski,True,New York Post,Fresh,8.75,2018-11-28,It's the best stand-alone film to feature the iconic character so far.
1,m/spider_man_into_the_spider_verse,Matt Goldberg,False,Collider,Fresh,10.0,2018-11-28,"With whip-smart writing and dazzling animation, Into the Spider-Verse is the best Spider-Man movie yet."
2,m/spider_man_into_the_spider_verse,Dan Murrell,False,Screen Junkies,Fresh,8.5,2018-11-28,This is hands-down my favorite animated film of the year so far - and might be my favorite comic book movie of the year.
3,m/spider_man_into_the_spider_verse,Travis Hopson,False,Punch Drunk Critics,Fresh,9.0,2018-11-28,"Call it Amazing, Spectacular, Superior...all of the Spidey adjectives apply and still aren't enough."
4,m/spider_man_into_the_spider_verse,Matt Donato,False,We Got This Covered,Fresh,9.0,2018-11-28,"Get ready for the ""Spider-Verse"" to become your new favorite superhero universe, where porkers can be heroes and a leap of faith grants you access to one of 2018's most memorable theatrical experiences."
5,m/spider_man_into_the_spider_verse,Rodrigo Perez,False,The Playlist,Fresh,9.0,2018-11-28,"An inventive, irreverent and exhilarating new take on the Spider-Man mythos."
6,m/spider_man_into_the_spider_verse,Scott Mendelson,False,Forbes,Fresh,8.0,2018-11-28,This animated spectacular is the best 'Spider-Man' movie since the first 'Spider-Man' movie.
7,m/spider_man_into_the_spider_verse,Mike Cecchini,False,Den of Geek,Fresh,10.0,2018-11-28,It's the kind of achievement that brings to mind the adjectives usually attached to Spider-Man comic books. Amazing. Spectacular. Sensational.
8,m/spider_man_into_the_spider_verse,Clayton Davis,False,AwardsCircuit.com,Fresh,10.0,2018-11-28,"The directing team of Bob Persichette, Peter Ramsey, and Rodney Rothman's singular vision is a collaboration of geniuses, searching not only for perfect optics but a respectful interpretation for all engage."
9,m/spider_man_into_the_spider_verse,Molly Freeman,False,Screen Rant,Fresh,9.0,2018-11-28,"Spider-Man: Into the Spider-Verse delivers a funny, heartwarming and fresh superhero origin story with gorgeously executed comic-style animation."
10,m/spider_man_into_the_spider_verse,Kirsten Acuna,False,Insider,Fresh,10.0,2018-11-28,"""Spider-Man Into the Spider-Verse,"" feels like a comic book come to life. Sony's vibrant, hilarious holiday movie is gorgeous to look at, is incredibly self-aware, and delivers the big screen debut of a few new Spideys that will become household names."
11,m/spider_man_into_the_spider_verse,Sebastian Zavala Kahn,False,Me gusta el cine,Fresh,8.0,2018-11-28,"Visually spectacular and unexpectedly emotional, the movie covers years of Spidey material in economical and entertaining fashion. [Full review in Spanish]"
12,m/spider_man_into_the_spider_verse,Sandie Angulo Chen,False,Common Sense Media,Fresh,10.0,2018-11-28,"Excellent, intense adventure has thrills, humor, heart."
13,m/spider_man_into_the_spider_verse,Kyle Anderson,False,Nerdist,Fresh,10.0,2018-11-28,"It's the kind of superhero movie we absolutely need, with good people doing good and reveling in it, the way Spider-Man always should."
14,m/spider_man_into_the_spider_verse,Jesse Hassenger,True,AV Club,Fresh,8.0,2018-11-28,"This is the seventh Spider-Man feature film in 16 years, but this universe has rarely felt so fresh."
15,m/spider_man_into_the_spider_verse,David Griffin,False,IGN Movies,Fresh,9.0,2018-11-28,Spider-Man: Into the Spider-Verse hits all the marks to be an all-around moviegoing blast.
16,m/spider_man_into_the_spider_verse,David Ehrlich,True,indieWire,Fresh,8.0,2018-11-28,The film's wild and contradictory aesthetic - elements of which clash against each other like some kind of dissonant cartoon jazz - dazzlingly explodes the outmoded idea that superhero movies have to look a certain way.
17,m/spider_man_into_the_spider_verse,J. Don Birnam,False,Splash Report,Fresh,8.0,2018-11-28,"Richly textured animation, eye-popping effects, and hilarious slapstick humor courtesy of six new Spider-Men and Women, make what should be a stale story unexpectedly refreshing and interesting."
18,m/spider_man_into_the_spider_verse,Matt Singer,False,ScreenCrush,Fresh,8.0,2018-11-28,The ultimate Spider-Man film.
19,m/spider_man_into_the_spider_verse,Darren Franich,True,Entertainment Weekly,Fresh,6.0,2018-11-28,"Spider-Verse has plenty of small delights, and it looks unique."
20,m/spider_man_into_the_spider_verse,Alex Abad-Santos,False,Vox,Fresh,8.0,2018-11-28,"Into the Spider-Verse treats its characters' emotions with care and validity, all the while trying to solve a puzzle that has long stumped people of all ages: Who am I supposed to be? And the scarier follow-up: What if I don't deserve that identity?"
21,m/spider_man_into_the_spider_verse,Brian Truitt,True,USA Today,Fresh,8.75,2018-11-28,"It's a slightly insane, hilariously daring and often touching mashup of everything that makes super-flicks so darn popular with the introduction of a Spider-Man who's ready-made for today's generation of kids."
22,m/spider_man_into_the_spider_verse,Edward Douglas,False,The Weekend Warrior,Fresh,8.5,2018-11-28,"Spider-Man: Into the Spider-verse isn't just the best Spider-Man movie to date, but it's also better than most Spider-Man comics."
23,m/spider_man_into_the_spider_verse,Johnny Oleksinski,True,New York Post,Fresh,8.75,2018-11-28,It's the best stand-alone film to feature the iconic character so far.
24,m/spider_man_into_the_spider_verse,Matt Goldberg,False,Collider,Fresh,10.0,2018-11-28,"With whip-smart writing and dazzling animation, Into the Spider-Verse is the best Spider-Man movie yet."
25,m/spider_man_into_the_spider_verse,Dan Murrell,False,Screen Junkies,Fresh,8.5,2018-11-28,This is hands-down my favorite animated film of the year so far - and might be my favorite comic book movie of the year.
26,m/spider_man_into_the_spider_verse,Travis Hopson,False,Punch Drunk Critics,Fresh,9.0,2018-11-28,"Call it Amazing, Spectacular, Superior...all of the Spidey adjectives apply and still aren't enough."
27,m/spider_man_into_the_spider_verse,Matt Donato,False,We Got This Covered,Fresh,9.0,2018-11-28,"Get ready for the ""Spider-Verse"" to become your new favorite superhero universe, where porkers can be heroes and a leap of faith grants you access to one of 2018's most memorable theatrical experiences."
28,m/spider_man_into_the_spider_verse,Rodrigo Perez,False,The Playlist,Fresh,9.0,2018-11-28,"An inventive, irreverent and exhilarating new take on the Spider-Man mythos."
29,m/spider_man_into_the_spider_verse,Scott Mendelson,False,Forbes,Fresh,8.0,2018-11-28,This animated spectacular is the best 'Spider-Man' movie since the first 'Spider-Man' movie.
30,m/spider_man_into_the_spider_verse,Mike Cecchini,False,Den of Geek,Fresh,10.0,2018-11-28,It's the kind of achievement that brings to mind the adjectives usually attached to Spider-Man comic books. Amazing. Spectacular. Sensational.
31,m/spider_man_into_the_spider_verse,Clayton Davis,False,AwardsCircuit.com,Fresh,10.0,2018-11-28,"The directing team of Bob Persichette, Peter Ramsey, and Rodney Rothman's singular vision is a collaboration of geniuses, searching not only for perfect optics but a respectful interpretation for all engage."
