,rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
0,m/the_wolf_of_wall_street_2013,Eric Henderson,False,Slant Magazine,Rotten,5.0,2013-12-16,"Martin Scorsese's keyed-up, irreverent tone frequently fails to distinguish itself from the grunting arias sung by the oily paragons of commerce his film evidently intended to deflate."
1,m/the_wolf_of_wall_street_2013,William Bibbiani,False,CraveOnline,Fresh,8.0,2013-12-17,"An impressive, epic ode to decadence that understands the appeal of hedonism, explaining without ever justifying the psychotic joke that is the current economic system."
2,m/the_wolf_of_wall_street_2013,Rodrigo Perez,False,The Playlist,Fresh,8.0,2013-12-17,"An exhilarating portrait of a modern day Rome the feral ""Wolf Of Wall Street"" rages, pounds and throbs like a riotous maximalist at the greatest party ever staged."
3,m/the_wolf_of_wall_street_2013,Tom Huddleston,True,Time Out,Fresh,8.0,2013-12-17,"The Wolf of Wall Street plays modern tragedy as epic farce, reminding us just how much fun Scorsese can be when he's in a playful mood."
4,m/the_wolf_of_wall_street_2013,Robbie Collin,True,Daily Telegraph (UK),Fresh,10.0,2013-12-17,"Great filmmakers don't grow old like the rest of us, and at 71, Martin Scorsese has stormed back with a picture that would have exhausted a director half his age."
5,m/the_wolf_of_wall_street_2013,Lou Lumenick,True,New York Post,Rotten,3.75,2013-12-17,"Handsome, sporadically amusing and admittedly never boring - but also bloated, redundant, vulgar, shapeless and pointless ..."
6,m/the_wolf_of_wall_street_2013,Jim Vejvoda,False,IGN Movies,Fresh,9.5,2013-12-17,"Scorsese has made a GoodFellas for a new generation in The Wolf of Wall Street, another blackly comic crime epic about a very different kind of outlaw: the renegade capitalist."
7,m/the_wolf_of_wall_street_2013,Rob James,False,Total Film,Fresh,10.0,2013-12-17,"An epic, boldly broad screwball comedy about the state of America, then and now."
8,m/the_wolf_of_wall_street_2013,James Rocchi,False,Cinephiled,Fresh,6.0,2013-12-17,"The Wolf of Wall Street is a fun, frantic, messy blast of a party; too bad the very real and very important question of who pays the tab and who cleans up the mess never comes into play."
9,m/the_wolf_of_wall_street_2013,Harvey S. Karten,False,Compuserve,Fresh,10.0,2013-12-17,"Bursting with energy, this blue chip gem about the rise and fall of a self-made man is the best film of the year."
10,m/the_wolf_of_wall_street_2013,Eric Kohn,True,indieWire,Fresh,7.0,2013-12-17,"A brazen three-hour cinematic bender of sex and drugs set to the tune of financial chaos, ""The Wolf of Wall Street"" is undoubtedly the craziest movie of Martin Scorsese's career."
11,m/the_wolf_of_wall_street_2013,Jordan Hoffman,False,ScreenCrush,Fresh,9.0,2013-12-17,Martin Scorsese's most dynamic and spry film since 'GoodFellas'
12,m/the_wolf_of_wall_street_2013,Xan Brooks,True,Guardian,Fresh,8.0,2013-12-17,"Here is a white-collar crime caper that stirs golden memories of the Scorsese back catalogue, often quite knowingly and sometimes to a fault."
13,m/the_wolf_of_wall_street_2013,Edward Douglas,False,ComingSoon.net,Fresh,9.0,2013-12-17,A brilliantly witty take on the world of the stock market that's on par with Scorsese classics like Goodfellas and Casino.
14,m/the_wolf_of_wall_street_2013,Peter Travers,True,Rolling Stone,Fresh,10.0,2013-12-18,"Working with a gutsy script by The Sopranos' Terence Winter, Scorsese is jabbing hard at America's jackpot culture. The laughs are merciless and nonstop, every one with a sting in its tail."
15,m/the_wolf_of_wall_street_2013,Keith Uhlich,True,Time Out,Fresh,8.0,2013-12-18,"The Wolf of Wall Street is a slippery beast, both beguiling and repellent on the surface, more difficult to pin down the deeper you look, and shifty in ways that I found intoxicating."
16,m/the_wolf_of_wall_street_2013,Calum Marsh,True,Little White Lies,Fresh,10.0,2013-12-18,"The best Scorsese film since Goodfellas ... Its excellence in other areas aside, this is plainly among the funniest films of the year -- ribald, riotous, ridiculous."
17,m/the_wolf_of_wall_street_2013,Laura Clifford,False,Reeling Reviews,Fresh,8.0,2013-12-18,In his best scene DiCaprio displays a knack for physical comedy heretofore unearthed as he makes his way to his Ferrari legless on an overdose of particularly powerful 'ludes.
18,m/the_wolf_of_wall_street_2013,Rex Reed,True,Observer,Fresh,10.0,2013-12-18,The sets are ravishing. The cinematography dazzles. There's so much going on that you don't blink for fear that you might miss something.
19,m/the_wolf_of_wall_street_2013,Simon Reynolds,False,Digital Spy,Fresh,8.0,2013-12-18,Jordan Belfort makes Gordon Gekko look like Cliff Richard.
20,m/the_wolf_of_wall_street_2013,Robert Levin,False,amNewYork,Fresh,8.75,2013-12-19,"The film's attitude is embedded in its form, in the way it holds nothing back, with Scorsese utilizing every tool at his disposal to offer an existential portrait of hedonism."
21,m/the_wolf_of_wall_street_2013,Matt Prigge,False,Metro,Fresh,8.0,2013-12-19,"""The Wolf of Wall Street' lacks 'Goodfellas'' shape, attractive characters, their wit and - with one glorious exception, involving super-quaaludes - instant classic set pieces. That's by design."
22,m/the_wolf_of_wall_street_2013,Marjorie Baumgarten,False,Austin Chronicle,Fresh,7.0,2013-12-19,The Wolf of Wall Street matches its subject's excesses to a wearying and stupefying extent. All should be well if you just remember to buckle up your jet pack before launch.
23,m/the_wolf_of_wall_street_2013,Brian Formo,False,CraveOnline,Rotten,6.0,2013-12-19,"The Wolf of Wall Street is a pièce de résistance to depravity, without giving an inch of resistance to the depravity... In a way, it bails out Wall Street all over again."
24,m/the_wolf_of_wall_street_2013,Radheyan Simonpillai,False,AskMen.com,Fresh,10.0,2013-12-19,"A winning return for Martin Scorsese, who delivers his finest and most balls-out entertainment in more than a decade."
25,m/the_wolf_of_wall_street_2013,Tony Macklin,False,tonymacklin.net,Fresh,7.0,2013-12-19,Scorsese is the visionary wolf of cinema.
26,m/the_wolf_of_wall_street_2013,Susan Granger,False,SSG Syndicate,Fresh,8.0,2013-12-19,"Cynical, unconventional and edgy - it's horrifying and absurdly hilarious."
27,m/the_wolf_of_wall_street_2013,Jonathan Lack,False,We Got This Covered,Fresh,10.0,2013-12-20,"Vintage Scorsese through and through - which includes his penchant for artistic evolution - The Wolf of Wall Street provides some of the most vibrant, energetic, and culturally impactful filmmaking of 2013."
28,m/the_wolf_of_wall_street_2013,Frederic and Mary Ann Brussat,False,Spirituality & Practice,Fresh,6.0,2013-12-20,An over-the-top portrait of a cynical head of brokerage firm which vividly shows the soul rot afoot in America.
29,m/the_wolf_of_wall_street_2013,Stefan Pape,False,HeyUGuys,Fresh,10.0,2013-12-20,DiCaprio turns in one of his finest ever performances.
30,m/the_wolf_of_wall_street_2013,Mark Ellis,False,Schmoes Know,Fresh,8.2,2013-12-21,"The film gets so involved that one might question the necessity of a three-hour running time, but how many times will a story like this come along when Scorsese is available to knock it out of the park?"
31,m/the_wolf_of_wall_street_2013,Kristian Harloff,False,Schmoes Know,Fresh,10.0,2013-12-21,"The combination of a master storyteller in Scorsese and his favorite instrument in DiCaprio make ""The Wolf of Wall Street"" one of the best films of 2013."
32,m/the_wolf_of_wall_street_2013,Drew McWeeny,False,HitFix,Fresh,10.0,2013-12-22,"'Wolf Of Wall Street' is a powerful reminder that at the age of 71, [Martin Scorsese] is as vital and as ferocious a voice as ever."
33,m/the_wolf_of_wall_street_2013,Jeff Beck,False,Examiner.com,Fresh,7.5,2013-12-23,"The Wolf of Wall Street may have flaws holding it back from being considered one of Scorsese's greats, but it's still a fine film featuring great performances, a snappy screenplay, and outstanding direction."
34,m/the_wolf_of_wall_street_2013,Dustin Putman,False,TheFilmFile.com,Fresh,8.75,2013-12-23,"Darkly funny, sexually explicit and fearlessly disturbing all at once, anchored by Leonardo DiCaprio in a deliriously brilliant performance."
35,m/the_wolf_of_wall_street_2013,Frank Swietek,False,One Guy's Opinion,Fresh,7.0,2013-12-23,"Though it goes on too long and comes across the finish line a little winded, [it's] a mostly exciting ride on the Wall Street wild side--so long as you don't expect a moral at the end beyond 'don't get caught.'"
36,m/the_wolf_of_wall_street_2013,Richard Roeper,True,Richard Roeper.com,Fresh,7.0,2013-12-23,This is good but not great Scorsese.
37,m/the_wolf_of_wall_street_2013,Jessica Herndon,True,Associated Press,Fresh,8.75,2013-12-23,"Digging into deep-pocket gluttony, Martin Scorsese's dark comedy ''The Wolf of Wall Street'' highlights a world rich in drugs, fast cars and private jets. The American dream is amplified, yet those indulging in it are never satisfied."
38,m/the_wolf_of_wall_street_2013,Richard von Busack,False,MetroActive,Rotten,4.0,2013-12-23,Jordan Belfort has just made a distinguished director his latest mark. We sat through Scorsese's Tibetan Buddhist stage for this?
39,m/the_wolf_of_wall_street_2013,Damon Wise,False,Empire Magazine,Fresh,10.0,2013-12-23,"Scorsese's funniest and most focused film in a long time, a jet-black sex and drug-soaked comedy featuring a bravura performance by Leonardo DiCaprio."
40,m/the_wolf_of_wall_street_2013,Michael Phillips,True,Chicago Tribune,Rotten,5.0,2013-12-23,"Scorsese's camera energizes all he can, in every way he can as a propulsive filmmaker. But around the 80-minute mark the bullet train of a protagonist begins to run in circles, however maniacally."
41,m/the_wolf_of_wall_street_2013,Rafer Guzman,True,Newsday,Fresh,6.25,2013-12-23,"Martin Scorsese's epic tale of debauchery feels overlong and sometimes misses its mark, but it's the director's raunchiest, funniest film yet."
42,m/the_wolf_of_wall_street_2013,Matt Pais,False,RedEye,Fresh,6.25,2013-12-23,Mindle$$ entertainment.
43,m/the_wolf_of_wall_street_2013,Jules Brenner,False,Cinema Signals,Rotten,4.0,2013-12-23,"In reality, this guy would be in jail stripes before you can say, ""Martha Stewart."""
44,m/the_wolf_of_wall_street_2013,Bill Gibron,False,PopMatters,Fresh,9.0,2013-12-23,"As he does every time he takes on such epic material, America's auteur finds subtext in scope and insight in the increasing downward spiral of his lawless heroes."
45,m/the_wolf_of_wall_street_2013,Mike Scott,False,Times-Picayune,Fresh,6.0,2013-12-23,"Scorsese's focus isn't so much on telling a tight story as chronicling Belfort's outsized antics, but they're not there just for laughs. This is at its root a cautionary tale."
46,m/the_wolf_of_wall_street_2013,Joe Neumaier,True,New York Daily News,Fresh,8.0,2013-12-23,"Talk about a high-risk reward. Martin Scorsese's ""The Wolf of Wall Street"" is a delirious, manic, push-the-limits comedy of gaudy amorality that tests the audience's taste."
47,m/the_wolf_of_wall_street_2013,Randy Myers,True,San Jose Mercury News,Fresh,8.75,2013-12-23,"Whether he's on the phone luring someone to send him a check for a dicey investment, or flopping around the floor after ingesting too many quaaludes, DiCaprio hits the jackpot."
48,m/the_wolf_of_wall_street_2013,Jason Zingale,False,Bullz-Eye.com,Fresh,8.0,2013-12-23,"Between Leonardo DiCaprio's brilliant lead performance and Terrence Winter's excellent script, it's without a doubt the funniest movie that Scorsese has ever directed."
49,m/the_wolf_of_wall_street_2013,Josh Larsen,False,LarsenOnFilm,Rotten,3.75,2013-12-23,The timing is off - in a macro sense.
50,m/the_wolf_of_wall_street_2013,Brian Tallerico,False,HollywoodChicago.com,Fresh,10.0,2013-12-23,"Pumps with the adrenalized energy of its subject matter, alternating between its incredible screenwriter's way with words and its filmmaker's ability to tap into cultural issues like no one else."
51,m/the_wolf_of_wall_street_2013,Marc Mohan,False,Oregonian,Fresh,9.0,2013-12-23,"An overstuffed, pedal-to-the-metal joyride through a life lived according to the purest precepts of free-market capitalism."
52,m/the_wolf_of_wall_street_2013,Roger Moore,False,Tribune News Service,Fresh,7.5,2013-12-23,"Fun, amoral and excessive -- especially in length"
53,m/the_wolf_of_wall_street_2013,Claudia Puig,True,USA Today,Fresh,8.75,2013-12-23,"Like Scorsese's After Hours, it's absurdly funny, though more akin to Goodfellas in substance and structure."
54,m/the_wolf_of_wall_street_2013,Kimberly Gadette,False,Doddle,Fresh,8.0,2013-12-24,"Before the rise of the economic echelon currently referred to as the one percent, there was Jordan Belfort ... the one percent of the one percent."
55,m/the_wolf_of_wall_street_2013,Willie Waffle,False,WaffleMovies.com,Fresh,6.25,2013-12-24,It's Margot Robbie who emerges as the biggest star in The Wolf Of Wall Street.
56,m/the_wolf_of_wall_street_2013,Kofi Outlaw,False,Screen Rant,Fresh,10.0,2013-12-24,"By presenting the bad and the ugly behind Wall Street so unflinchingly, Scorsese crafts an insightful and important deconstruction of post-millennial America's moral erosion."
57,m/the_wolf_of_wall_street_2013,Michael Smith,False,Tulsa World,Rotten,3.75,2013-12-24,"Excess for the sake of excess on the part of Scorsese, and it's a bore."
58,m/the_wolf_of_wall_street_2013,Nell Minow,False,Movie Mom,Fresh,9.0,2013-12-24,The cocaine and ludes are not nearly as powerful as the most intoxicating substances of all: greed mixed with testosterone and pure id.
59,m/the_wolf_of_wall_street_2013,Anders Wright,False,San Diego Union-Tribune,Fresh,6.0,2013-12-24,"From a film-making perspective, much of what is here is masterful, and let's face it, we expect nothing less from Scorsese."
60,m/the_wolf_of_wall_street_2013,Jonathan W. Hickman,False,Daily Film Fix,Rotten,4.5,2013-12-24,Less a cautionary tale and more of a how-to manual... Many sequences take on a sophomoric quality reminiscent of two guys in a bar trying to impress each other with wild stories of depraved drunken debauchery.
61,m/the_wolf_of_wall_street_2013,Duane Dudek,False,Milwaukee Journal Sentinel,Fresh,7.5,2013-12-24,"DiCaprio captures this cynical and unsympathetic character effortlessly, and Jonah Hill provides crude comic relief as his nebbishy partner in crime."
62,m/the_wolf_of_wall_street_2013,Moira MacDonald,True,Seattle Times,Fresh,8.75,2013-12-24,"As Jordan Belfort, a New York stockbroker who spent years cheerfully defrauding investors, DiCaprio is positively reptilian; he spits out his lines with a nasty glee. You're both horrified and enchanted by this creature - a monster in Armani."
63,m/the_wolf_of_wall_street_2013,Jeffrey Lyles,False,Lyles' Movie Files,Rotten,5.0,2013-12-24,"Like a hyperactive three-year-old. Sure, for a little while the over-the-top antics and outrageous moments are cute, but after three hours, it becomes exhausting and annoying leaving you simply waiting for it to finally be put to bed."
64,m/the_wolf_of_wall_street_2013,Ty Burr,True,Boston Globe,Fresh,8.75,2013-12-24,"It's like ""Goodfellas,"" only (slightly) more legal, which is very much the point."
65,m/the_wolf_of_wall_street_2013,Travis Hopson,False,Examiner.com,Fresh,9.0,2013-12-24,"My first thought after the credits rolled on Martin Scorsese's 3-hour symphony of greed and depravity was, ""How in the hell did this not get an NC-17 rating""???"
66,m/the_wolf_of_wall_street_2013,Eric Eisenberg,False,CinemaBlend,Fresh,9.0,2013-12-24,"In The Wolf of Wall Street, Scorsese recognized a story of insanity, lewdness, depravity, greed and incredible entertainment value, and that's exactly what he has brought to the screen."
67,m/the_wolf_of_wall_street_2013,Blake Crane,False,Film Racket,Fresh,9.0,2013-12-24,just because The Wolf of Wall Street is hilarious doesn't mean it's not terrifying
68,m/the_wolf_of_wall_street_2013,Joe Williams,True,St. Louis Post-Dispatch,Fresh,8.75,2013-12-24,"Scorsese, as always, knows exactly what he is doing. Although it's long, the movie is never less than entertaining."
69,m/the_wolf_of_wall_street_2013,Daniel M. Kimmel,False,North Shore Movies,Fresh,10.0,2013-12-24,It does for stockbrokers what GoodFellas did for mobsters.
70,m/the_wolf_of_wall_street_2013,Josh Bell,False,Las Vegas Weekly,Rotten,5.0,2013-12-24,"As entertaining as many of the individual scenes and set pieces can be, the movie drags as it passes the 90-minute mark."
71,m/the_wolf_of_wall_street_2013,James Berardinelli,True,ReelViews,Fresh,10.0,2013-12-24,Scorsese presents Belfort as a charismatic Caligula. He is an endlessly fascinating character who holds viewers' attention from beginning to end.
72,m/the_wolf_of_wall_street_2013,Sean P. Means,False,Salt Lake Tribune,Fresh,7.5,2013-12-24,Scorsese moves through this cavalcade of bad behavior like a kid in a candy store.
73,m/the_wolf_of_wall_street_2013,Rene Rodriguez,True,Miami Herald,Fresh,10.0,2013-12-24,The Wolf of Wall Street isn't a celebration of bad behavior: It's a condemnation.
74,m/the_wolf_of_wall_street_2013,Peter Canavese,False,Groucho Reviews,Fresh,8.75,2013-12-24,"Rests comfortably alongside Scorsese's masterpieces Goodfellas and Casino, but carries a sting that even they don't by examining the most acceptable, yet most rapacious, of criminal swindles."
75,m/the_wolf_of_wall_street_2013,Chris Knight,False,National Post,Fresh,6.25,2013-12-24,"It becomes unclear who has too many balls in the air -- the character of Belfort, or the film's director. Either way, there's a crash waiting to happen."
