,rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
0,m/zootopia,Emma Simmonds,False,The List,Fresh,8.0,2016-02-17,"The be-true-to-yourself and don't-judge-others messages are nicely worked in: while it's robustly right-on, including being cheerfully feminist, it never feels preachy."
1,m/zootopia,Peter Turner,False,Starburst,Fresh,6.0,2016-02-18,"A wild ride with some noir-ish undertones, Zootropolis packs in plenty to keep the whole family entertained."
2,m/zootopia,Jonathan Sánchez,False,Time Out México,Fresh,8.0,2016-02-19,Zootopia has all the elements to become a classic for fans of the House of Mouse. [Full review in Spanish]
3,m/zootopia,Jonathan Sánchez,False,Cinema Movil,Fresh,8.0,2016-02-19,"This is probably one of the best films Disney has ever created, it delivers on everything you'd expect from it and more. [Full review in Spanish]"
4,m/zootopia,Scott Mendelson,False,Forbes,Fresh,9.0,2016-02-19,"It's funny, it's clever, it's exciting and suspenseful, and it operates as one of the more potent ""social issues"" pictures that we've seen from a major studio (even during the Oscar season) in quite some time."
5,m/zootopia,Uriel Barco,False,Garuyo,Fresh,8.5,2016-02-22,A solid job with its own message that can be enjoyed from different views. [Full review in Spanish]
6,m/zootopia,Carolina Ruiz,False,En Filme,Fresh,7.0,2016-02-22,"Zootopia makes a statement about how we should not judge people by race, genre or looks. [Full review in Spanish]"
7,m/zootopia,Dirk Libbey,False,CinemaBlend,Fresh,10.0,2016-02-23,Zootopia isn't simply another fun Disney animated movie. It's one of the greatest Disney animated movies the company has ever produced.
8,m/zootopia,Roger Moore,False,Movie Nation,Fresh,7.5,2016-02-25,"Smart, but better at delivering a message of tolerance than laughs."
9,m/zootopia,Dave Calhoun,True,Time Out,Fresh,8.0,2016-02-26,The world that Zootropolis creates is intelligent and fascinatingly detailed -- it feels more like a movie by Disney-owned Pixar than a straight Disney film.
10,m/zootopia,Chris Nashawaty,True,Entertainment Weekly,Fresh,7.0,2016-02-29,Zootopia's message of tolerance is a noble one. But it's loopy moments ... that give this modest film its magic.
11,m/zootopia,Christopher Campbell,False,Film School Rejects,Fresh,8.0,2016-02-29,"""A very clever movie with the sort of meticulous world building that's ripe for the spawning of inventive humor."""
12,m/zootopia,Michael Jaconelli,False,The Skinny,Fresh,8.0,2016-02-29,A neo-noir buddy cop comedy that will likely entertain children and adults alike thanks to a steady stream of gags and vibrant visuals.
